dataset,sample_id,source_id,label,dataset_revision,selection_key_sha256,selection_rank,manifest_version,selection_seed,selection_method,source_input_csv_sha256,h2b_stage,h2b_manifest_version
DeepVoice,DEEPVOICE_REAL_biden-original_frag3,DEEPVOICE_REAL_biden-original_frag3,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,0049c46f0006f828a3e07dd51478e2c14750d6d36b18c8d2b452c039c7568119,1,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_ryan-original_frag8,DEEPVOICE_REAL_ryan-original_frag8,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,0138d05caeef66379a7acf99fc2a5a36ad9d0d204411a752ef0ffaf621d1cb74,2,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_linus-original_frag59,DEEPVOICE_REAL_linus-original_frag59,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,018f57e62e5904ad35729511b2dd5018c94080ee890b7010047a157f35a7a4f9,3,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_taylor-original_frag81,DEEPVOICE_REAL_taylor-original_frag81,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,021cba3489aaca00c656bdd473ed9cb8b25c6ad1792ef82d87aec4fe6a5f4351,4,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_musk-original_frag49,DEEPVOICE_REAL_musk-original_frag49,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,02a9335eee16fc562ebb9c4b5630b351d05e77a5a75a66d72784373d465365ab,5,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_linus-original_frag87,DEEPVOICE_REAL_linus-original_frag87,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,02bb813a231cc14f1dd529d92c5f6e54393e8f550ec00f09009079b2d230501d,6,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_musk-original_frag48,DEEPVOICE_REAL_musk-original_frag48,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,030edbcb939ce296fac24884735824cb620cc5b1a4c5681767c49499f256e064,7,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_taylor-original_frag19,DEEPVOICE_REAL_taylor-original_frag19,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,03cbc20a6be643a1974d479773dc59f8542d64ddf86515b5c05a7ff100781502,8,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_trump-original_frag4,DEEPVOICE_REAL_trump-original_frag4,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,048b765881f7e155bb15c2baf8f7fee7743d2237a5cc2c1b83f12d966a767a77,9,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_trump-original_frag79,DEEPVOICE_REAL_trump-original_frag79,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,048ff45c36fcfe728efad6947a834404d9c279a44901eda168d7130c1c178fa1,10,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
