model,item_id,seed,family,template,k,expected_count,expected_words,target_unit,n_words,duration_s,count_a,rms,spectral_flatness,trailing_silence_s,loop_ac_peak,n_speech_tokens,hit_cap,count_b,expected_duration_s,duration_ratio,agree,count_final,outcome,correct,transcript
llasa1b,ct_blue_t4_k048,0,control_word,t4,48,48,55,blue,46,38.2,34,nan,nan,nan,nan,1910,False,,nan,nan,True,34,undercount,0,THE LIGHT WAS QUITE REALLY TRULY FAIRLY RATHER SOMEWHAT EXTREMELY NOTABLY DEEPLY CLEARLY PLAINLY SURELY BARELY HARDLY MOSTLY NEARLY PARTLY SIMPLY WIDELY WHOLY BADLY BOLDLY BRISKLY CALMLY COLDLY COOLLY CRUDELY DARKLY DEARLY DENSELY DIMLY DRYLY DULLY EAGERLY EARLY EASE OF THE FALS OF FARAD ABAT COWLY
llasa1b,ct_blue_t4_k064,0,control_word,t4,64,64,71,blue,60,34.38,54,nan,nan,nan,nan,1719,False,,nan,nan,True,54,undercount,0,THE LIGHT WAS QUITE REALLY FAIRLY FAIRLY RATHER SOMEWHAT EXTREMELY NOTABLY DEEPLY CLEARLY PLAINLY SURELY BARELY HARDLY MOSTLY NEARLY PARTLY SIMPLY WIDELY WHOLLY BADLY BOLDLY BRISKLY CALMLY COLDLY COOLLY CRUDELY DARKLY DEARLY DENSELY DIMLY DRYLY DULLY EAGERLY EARLY EASILY EVENLY EXACTLY FAINTLY FALSELY FAMOUSLY LY FIERCELY FINELY FIRMLY FRANKLY FREELY FRESHLY GENTLY GLADLY GRAVELY GRIMLY HARSHLY HEAVILY HIGHLY HOTLY HOTLY
llasa1b,ct_blue_t4_k096,0,control_word,t4,96,96,103,blue,77,35.9,60,nan,nan,nan,nan,1795,False,,nan,nan,True,60,undercount,0,THE LIGHT WAS QUITE REALLY TRULY FAIRLY RATHER SOMEWHAT EXTREMELY NOTABLY DEEPLY CLEARLY PLAINLY SURELY BARELY HARDLY MOSTLY NEARLY PARTLY SIMPLY WIDELY WHOLLY BADLY BOLDLY BRISKLY CALMLY COLDLY COOLLY CUDLY DARKLY DEARLY DENSELY DIMLY DRYLY DULLY EAGERLY EARLY EASILY EVENLY EXACTLY FAINTLY FALSELY FAMOUSLY FIERCELY FINELY FIRMLY FILY FIRMLY FRANKLY FREELY FRESHLY GENTLY GLADLY GRAVELY GRIMLY HARSHLY HEAVI HEAVILY HIGHLY HOTLY HUGELY HUMBLY KEENLY KINDLY LARGELY LIGHTLY LIGHTLY LIGHLY BRALY PRINLY FRIENDLY FASHLY HEAVILY FAIRLY RATHER SEMCHISD
llasa1b,ct_blue_t4_k128,0,control_word,t4,128,128,135,blue,69,34.52,56,nan,nan,nan,nan,1726,False,,nan,nan,True,56,undercount,0,THE LIGHT WAS QUITE REALLY TRULY FAIRLY RATHER SOMEWHAT EXTREMELY NOTABLY DEEPLY CLEARLY PLAINLY SURELY BARELEY HARLEY MOSTLY NEARLY PARTLY SIMPLY WIDELY WHOLLY BADLY BOLDLY BRISKLY CALMLY COLDLY COOLLY CRUOLY DARKLY DEARLY DENSELY DIMLY DRYLY DULLY EAGERLY EARLY EASILY EVENLY EXACTLY FAMELY FALSELY FAMOUSLY FIERCELY FIMLY FIRMLY FRANKLY FREELY FRESHLY GENTLY GLADLY GRAVELY GRIMLY HARSH HARSHLY HEAVILY HIGHLY HOTLY HUGELY HUMBLY KEENLY KINDLY LARGEL LIGHTLY LIGHTLY LIKELY D PURENCE
llasa1b,ct_far_t3_k048,0,control_word,t3,48,48,56,far,54,36.1,46,nan,nan,nan,nan,1805,False,,nan,nan,True,46,undercount,0,HE WALKED QUITE REALLY TRULY FAIRLY RATHER SOMEWHAT EXTREMELY NOTABLY DEEPLY CLEARLY PLAINLY SURELY BARELY HARDLY MOSTLY NEARLY PARTLY SIMPLY WIDELY WHOLLY BADLY BOLDLY BRISKLY CALMLY COLDLY COOLLY CRUDELY DARKLY DEARLY DENSELY DIMLY DRYLY DULLY EAGERLY EARLY EASILY EVENLY EXACTLY FAINTLY FALSELY FAMOUSLY FIERCELY FINELY FIRMLY FLATLY FONDLY INTO THE FOREST BEFORE TURNING BACK
llasa1b,ct_far_t3_k064,0,control_word,t3,64,64,72,far,61,38.46,54,nan,nan,nan,nan,1923,False,,nan,nan,True,54,undercount,0,HE WALKED QUITE REALLY TRULY FAIRLY RATHER SOMEWHAT EXTREMELY NOTABLY DEEPLY CLEARLY PLAINLY SURELY BARELY HARDLY MOSTLY NEARLY PARTLY SIMPLY WIDELY WHOLLY BADLY BOLDLY BRISKLY CALMLY COLDLY COOLLY CRUDELY DARKLY DEARLY DENSELY DIMLY DRYLY DULLY EAGERLY EARLY EASILY EVENLY EXACTLY FAINTLY FALSELY FAMOUSLY FIERCELY FRINDLY FORMALLY FRANKLY FREELY FRESHLY GENTLY GLADLY GRAVELY GRIMLY HARSHLY HEAVILY HIGHLY HOTLY HOTLY DOLLY HIGHTS DOCTOR
llasa1b,ct_far_t3_k096,0,control_word,t3,96,96,104,far,68,31.5,62,nan,nan,nan,nan,1575,False,,nan,nan,True,62,undercount,0,HE WALKED QUITE REALLY TRULY FAIRLY RATHER SOMEWHAT EXTREMELY NOTABLY DEEPLY CLEARLY PLAINLY SURELY BARELY HARDLY MOSTLY NEARLY PARTLY SIMPLY WIDELY WHOLLY BADLY BOLDLY BRISKLY CALMLY COLDLY COOLLY CRUDELY DARKLY DEARLY DENSELY DIMLY DRYLY DULLY EAGERLY EARLY EASILY EVENLY EXACTLY FAINTLY FALSELY FAMOUSLY FIERCELY FINELY FIRMLY FRANKLY FREELY FRESHLY GENTLY GLADLY GRAVELY GRIMLY HARSHLY HEAVILY HIGHLY HOTLY HOTLY HUGELY HUMBLY KEENLY KINDLY LARGELY LATELY LIGHTLY LIGHTLYY LILY DUMPERS
llasa1b,ct_far_t3_k128,0,control_word,t3,128,128,136,far,78,34.7,56,nan,nan,nan,nan,1735,False,,nan,nan,True,56,undercount,0,HE WALKED QUITE REALLY TRULY FAIRLY RATHER SOMEWHAT EXTREMELY NOTABLY DEEPLY CLEARLY PLAINLY SURELY BARELY HARDLY MOSTLY NEARLY PARTLY SIMPLY WIDELY WHOLLY BADLY BOLDLY BRISKLY CALMLY COLDLY COOLLY CRUDELY DARKLY DEARLY DENSELY DIMLY DRYLY DULLY EAGERLY EARLY EASILY EVENLY EXACTLY FAINTLY FALSELY FAMOUSLY FRIENDLY FRANKLY FURLY FRESHLY GENTLY GLADLY GRAVELY GRIMLY HARSHLY HEAVILY HIGHLY HOTLY HOTLY HOTLY HUGELY HUMBLY KEENLY KINDLY LARGELY LEDLY LEHTLY PO FRASELY GENTLY GLENS HAVLY HOLLY HOTLY ILL STAT FARLY TO THE PORTS FARLY
llasa1b,ct_very_t1_k048,0,control_word,t1,48,48,58,very,55,38.3,44,nan,nan,nan,nan,1915,False,,nan,nan,True,44,undercount,0,THE DOG WAS QUITE REALLY TRULY FAIRLY RATHER SOMEWHAT EXTREMELY NOTABLY DEEPLY CLEARLY PLAINLY SURELY BARELY HARDLY MOSTLY NEARLY PARTLY SIMPLY WIDELY WHOLLY BADLY BOLDLY BRISKLY CALMLY COLDLY COOLLY CRUDELY DARKLY DEARLY DENSELY DIMLY DRYLY DULLY EAGERLY EARLY EASILY EVENLY EXACTLY FAINTLY FALSELY FAMOUSLY FIERCELY FINALLY FORMALLY FRANKLY BIG AND IT RAN ACROSS THE FIELD
llasa1b,ct_very_t1_k064,0,control_word,t1,64,64,74,very,64,38.38,58,nan,nan,nan,nan,1919,False,,nan,nan,True,58,undercount,0,THE DOG WAS QUITE REALLY TRULY FAIRLY RATHER SOMEWHAT EXTREMELY NOTABLY DEEPLY CLEARLY PLAINLY SURELY BARELY HARDLY MOSTLY NEARLY PARTLY SIMPLY WIDELY WHOLLY BADLY BOLDLY BRISKLY CALMLY COLDLY COOLLY CRUDELY DARKLY DEARLY DENSELY DIMLY DRYLY DULLY EAGERLY EARLY EASILY EVENLY EXACTLY FAINTLY IF FALSELY FAMOUSLY FIERCELY Y FINELY FIRMLY FRANKLY FREELY FRESHLY GENTLY GLADLY GRAVELY GRIMLY HARSHLY HEAVILY HIGHLY HOTLY HUGELY HUMBLY KEENLY KINDL
