# Human listening audit sheet -- 60 clips, generated by scripts/make_listening_sheet.py --n 60 --seed 0
# Roughly 60 minutes at ~15s of audio per clip plus listen/replay/type overhead. See data/listening/PROTOCOL.md.
# Do not open data/listening/listening_key.csv before finishing this sheet -- it contains the answer.
row_id,clip,target_word,human_count,unclear
L001,clips/xtts2__wr_blue_t4_k06__s0.opus,blue,,
L002,clips/xtts2__ct_far_t3_k16__s0.opus,deep / fast / long / wide / high / low / near / past / deep / fast / long / wide / high / low / near / past,,
L003,clips/xtts2__ct_blue_t4_k16__s1.opus,green / bright / pale / dim / warm / cold / sharp / soft / green / bright / pale / dim / warm / cold / sharp / soft,,
L004,clips/qwen06b__wr_far_t3_k12__s1.opus,far,,
L005,clips/llasa3b__ct_really_t6_k24__s1.opus,truly / quite / very / rather / deeply / clearly / plainly / surely / truly / quite / very / rather / deeply / clearly / plainly / surely / truly / quite / very / rather / deeply / clearly / plainly / surely,,
L006,clips/llasa3b__wr_blue_t4_k01__s0.opus,blue,,
L007,clips/llasa1b__ct_blue_t4_k06__s0.opus,green / bright / pale / dim / warm / cold,,
L008,clips/qwen17b__ct_blue_t4_k06__s0.opus,green / bright / pale / dim / warm / cold,,
L009,clips/llasa3b__ct_blue_t4_k08__s0.opus,green / bright / pale / dim / warm / cold / sharp / soft,,
L010,clips/qwen17b__ct_no_t2_k04__s2.opus,yes / maybe / sure / fine,,
L011,clips/llasa8b__ct_blue_t4_k06__s1.opus,green / bright / pale / dim / warm / cold,,
L012,clips/llasa1b__wr_blue_t4_k01__s0.opus,blue,,
L013,clips/xtts2__wr_blue_t4_k04__s0.opus,blue,,
L014,clips/qwen06b__ct_far_t3_k03__s1.opus,deep / fast / long,,
L015,clips/qwen06b__wr_blue_t4_k16__s0.opus,blue,,
L016,clips/llasa3b__wr_far_t3_k16__s2.opus,far,,
L017,clips/qwen06b__ct_blue_t4_k02__s0.opus,green / bright,,
L018,clips/llasa3b__ct_no_t2_k12__s1.opus,yes / maybe / sure / fine / okay / well / right / hmm / yes / maybe / sure / fine,,
L019,clips/xtts2__ct_blue_t4_k16__s0.opus,green / bright / pale / dim / warm / cold / sharp / soft / green / bright / pale / dim / warm / cold / sharp / soft,,
L020,clips/llasa3b__ct_blue_t4_k03__s0.opus,green / bright / pale,,
L021,clips/llasa8b__ct_far_t3_k02__s0.opus,deep / fast,,
L022,clips/llasa8b__wr_blue_t4_k01__s1.opus,blue,,
L023,clips/qwen06b__wr_very_t1_k12__s1.opus,very,,
L024,clips/qwen17b__wr_blue_t4_k06__s0.opus,blue,,
L025,clips/xtts2__wr_far_t3_k06__s2.opus,far,,
L026,clips/llasa3b__wr_blue_t4_k06__s0.opus,blue,,
L027,clips/llasa1b__wr_blue_t4_k16__s2.opus,blue,,
L028,clips/llasa3b__ct_blue_t4_k16__s1.opus,green / bright / pale / dim / warm / cold / sharp / soft / green / bright / pale / dim / warm / cold / sharp / soft,,
L029,clips/llasa3b__ct_no_t2_k16__s0.opus,yes / maybe / sure / fine / okay / well / right / hmm / yes / maybe / sure / fine / okay / well / right / hmm,,
L030,clips/qwen17b__wr_far_t3_k16__s0.opus,far,,
L031,clips/llasa8b__ct_blue_t4_k03__s1.opus,green / bright / pale,,
L032,clips/llasa1b__ct_blue_t4_k16__s1.opus,green / bright / pale / dim / warm / cold / sharp / soft / green / bright / pale / dim / warm / cold / sharp / soft,,
