dataset,sample_id,source_id,label,dataset_revision
DeepVoice,DEEPVOICE_REAL_biden-original_frag0,DEEPVOICE_REAL_biden-original_frag0,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag1,DEEPVOICE_REAL_biden-original_frag1,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag10,DEEPVOICE_REAL_biden-original_frag10,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag100,DEEPVOICE_REAL_biden-original_frag100,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag11,DEEPVOICE_REAL_biden-original_frag11,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag12,DEEPVOICE_REAL_biden-original_frag12,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag13,DEEPVOICE_REAL_biden-original_frag13,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag14,DEEPVOICE_REAL_biden-original_frag14,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag15,DEEPVOICE_REAL_biden-original_frag15,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag16,DEEPVOICE_REAL_biden-original_frag16,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag17,DEEPVOICE_REAL_biden-original_frag17,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag18,DEEPVOICE_REAL_biden-original_frag18,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag19,DEEPVOICE_REAL_biden-original_frag19,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag2,DEEPVOICE_REAL_biden-original_frag2,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag20,DEEPVOICE_REAL_biden-original_frag20,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag21,DEEPVOICE_REAL_biden-original_frag21,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag22,DEEPVOICE_REAL_biden-original_frag22,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag23,DEEPVOICE_REAL_biden-original_frag23,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag24,DEEPVOICE_REAL_biden-original_frag24,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag25,DEEPVOICE_REAL_biden-original_frag25,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag26,DEEPVOICE_REAL_biden-original_frag26,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag27,DEEPVOICE_REAL_biden-original_frag27,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag28,DEEPVOICE_REAL_biden-original_frag28,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag29,DEEPVOICE_REAL_biden-original_frag29,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag3,DEEPVOICE_REAL_biden-original_frag3,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag30,DEEPVOICE_REAL_biden-original_frag30,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag31,DEEPVOICE_REAL_biden-original_frag31,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag32,DEEPVOICE_REAL_biden-original_frag32,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag33,DEEPVOICE_REAL_biden-original_frag33,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag34,DEEPVOICE_REAL_biden-original_frag34,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag35,DEEPVOICE_REAL_biden-original_frag35,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag36,DEEPVOICE_REAL_biden-original_frag36,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag37,DEEPVOICE_REAL_biden-original_frag37,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag38,DEEPVOICE_REAL_biden-original_frag38,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag39,DEEPVOICE_REAL_biden-original_frag39,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag4,DEEPVOICE_REAL_biden-original_frag4,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag40,DEEPVOICE_REAL_biden-original_frag40,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag41,DEEPVOICE_REAL_biden-original_frag41,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag42,DEEPVOICE_REAL_biden-original_frag42,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag43,DEEPVOICE_REAL_biden-original_frag43,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
DeepVoice,DEEPVOICE_REAL_biden-original_frag44,DEEPVOICE_REAL_biden-original_frag44,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701
