model,item_id,seed,family,template,k,expected_count,expected_words,target_unit,n_words,duration_s,count_a,rms,spectral_flatness,trailing_silence_s,loop_ac_peak,n_speech_tokens,hit_cap,count_b,expected_duration_s,duration_ratio,agree,count_final,outcome,correct,transcript
llasa1b,ct_blue_t4_k02,0,control_word,t4,2,2,9,blue,0,40.96,0,0.0024081815499812365,0.0027983004692941904,6.25e-05,0.8593202233314514,2048,True,32,2.533333333333333,16.16842105263158,False,32,degenerate,0,
llasa1b,ct_blue_t4_k02,1,control_word,t4,2,2,9,blue,0,40.96,0,0.0005984040908515453,0.013247234746813774,21.0188125,0.10119394212961197,2048,True,32,2.533333333333333,16.16842105263158,False,32,empty,0,
llasa1b,ct_blue_t4_k02,2,control_word,t4,2,2,9,blue,9,5.54,0,0.01791730336844921,0.006819622125476599,6.25e-05,0.17599323391914368,277,False,4,2.533333333333333,2.186842105263158,False,4,loop,0,THE NIGHT WAS GRAY BY THE QIES FELL AWAY
llasa1b,ct_blue_t4_k03,0,control_word,t4,3,3,10,blue,10,3.8,3,0.002820545807480812,0.0430944561958313,0.0320625,0.2188771516084671,190,False,3,3.8,1.0,True,3,correct,1,THE LIGHT WAS GREEN BRIGHT PALE THE FAR TA LIT
llasa1b,ct_blue_t4_k03,1,control_word,t4,3,3,10,blue,1,40.96,0,0.0005107066826894879,0.024517538025975227,5.749625,0.3149370849132538,2048,True,32,3.8,10.778947368421054,False,32,empty,0,B
llasa1b,ct_blue_t4_k03,2,control_word,t4,3,3,10,blue,10,4.84,2,0.0740610733628273,0.025918232277035713,0.7188125,0.11811177432537079,242,False,4,3.8,1.2736842105263158,False,4,undercount,0,THE LIGHT WAS GREEN BAK PALE BEFORE THE STOHE AT
llasa1b,ct_blue_t4_k04,0,control_word,t4,4,4,11,blue,11,5.3,2,0.0016832826659083366,0.06287623196840286,0.007125,0.17907504737377167,265,False,4,5.066666666666666,1.0460526315789473,False,4,undercount,0,THE LIGHT WAS GREEN BRIGHT A THE FATHER'S FALE O
llasa1b,ct_blue_t4_k04,1,control_word,t4,4,4,11,blue,10,22.92,0,0.005032846704125404,0.03548969328403473,6.25e-05,0.46911051869392395,1146,False,18,5.066666666666666,4.523684210526317,False,18,loop,0,THE WIT WAS GLE BY A DOWN BEFORE THE STORM
llasa1b,ct_blue_t4_k04,2,control_word,t4,4,4,11,blue,10,4.46,2,0.03395884111523628,0.024117087945342064,0.6490625,0.37959104776382446,223,False,4,5.066666666666666,0.8802631578947369,False,4,undercount,0,THE LIGHT WAS GREEN BRIGHT OND IN ITON I SLANE
llasa1b,ct_blue_t4_k06,0,control_word,t4,6,6,13,blue,15,40.96,0,0.03180163726210594,0.011630156077444553,35.62175,0.3918144404888153,2048,True,32,7.6,5.389473684210527,False,32,loop,0,THEM WA WA A HA H HA HA HA H HA HAHAH HA HA HA
