model,item_id,seed,family,template,k,expected_count,expected_words,target_unit,n_words,duration_s,count_a,rms,spectral_flatness,trailing_silence_s,loop_ac_peak,n_speech_tokens,hit_cap,count_b,expected_duration_s,duration_ratio,agree,count_final,outcome,correct,transcript
qwen06brp10,ct_blue_t4_k02,0,control_word,t4,2,2,9,blue,9,3.28,2,nan,nan,nan,nan,41,False,2,3.280000000000001,0.9999999999999996,True,2,correct,1,THE LIGHT WAS GREEN BRIGHT BEFORE THE STORM ARRIVED
qwen06brp10,ct_blue_t4_k03,0,control_word,t4,3,3,10,blue,10,4.0,3,nan,nan,nan,nan,50,False,3,4.000000000000001,0.9999999999999998,True,3,correct,1,THE LIGHT WAS GREEN BRIGHT PALE BEFORE THE STORM ARRIVED
qwen06brp10,ct_blue_t4_k04,0,control_word,t4,4,4,11,blue,11,5.44,4,nan,nan,nan,nan,68,False,5,4.720000000000001,1.152542372881356,True,4,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM BEFORE THE STORM ARRIVED
qwen06brp10,ct_blue_t4_k06,0,control_word,t4,6,6,13,blue,13,5.2,6,nan,nan,nan,nan,65,False,5,6.160000000000001,0.844155844155844,True,6,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD BEFORE THE STORM ARRIVED
qwen06brp10,ct_blue_t4_k08,0,control_word,t4,8,8,15,blue,15,6.64,8,nan,nan,nan,nan,83,False,7,7.6000000000000005,0.8736842105263157,True,8,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
qwen06brp10,ct_blue_t4_k12,0,control_word,t4,12,12,19,blue,19,8.24,12,nan,nan,nan,nan,103,False,9,10.48,0.7862595419847328,False,12,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM BEFORE THE STORM ARRIVED
qwen06brp10,ct_blue_t4_k16,0,control_word,t4,16,16,23,blue,23,9.92,16,nan,nan,nan,nan,124,False,11,13.36,0.7425149700598803,False,16,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
qwen06brp10,ct_blue_t4_k24,0,control_word,t4,24,24,31,blue,31,12.56,24,nan,nan,nan,nan,157,False,15,19.119999999999997,0.6569037656903767,False,24,truncation,0,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
qwen06brp10,ct_blue_t4_k32,0,control_word,t4,32,32,39,blue,39,15.6,32,nan,nan,nan,nan,195,False,19,24.879999999999995,0.6270096463022509,False,32,truncation,0,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
qwen06brp10,ct_far_t3_k02,0,control_word,t3,2,2,10,far,10,4.56,2,nan,nan,nan,nan,57,False,2,4.5600000000000005,0.9999999999999998,True,2,correct,1,HE WALKED DEEP FAST INTO THE FOREST BEFORE TURNING BACK
