model,item_id,seed,family,template,k,expected_count,expected_words,target_unit,n_words,duration_s,count_a,rms,spectral_flatness,trailing_silence_s,loop_ac_peak,n_speech_tokens,hit_cap,count_b,expected_duration_s,duration_ratio,agree,count_final,outcome,correct,transcript
vits,ct_blue_t4_k02,0,control_word,t4,2,2,9,blue,9,3.728,2,nan,nan,nan,nan,-1,False,2,3.6213333333333346,1.0294550810014724,True,2,correct,1,THE LIGHT WAS GREEN BRIGHT BEFORE THE STORM ARRIVED
vits,ct_blue_t4_k02,1,control_word,t4,2,2,9,blue,9,3.456,2,nan,nan,nan,nan,-1,False,1,3.6213333333333346,0.9543446244477168,True,2,correct,1,THE LIGHT WAS GREEN BRIGHT BEFORE THE STORM ARRIVED
vits,ct_blue_t4_k02,2,control_word,t4,2,2,9,blue,9,3.68,2,nan,nan,nan,nan,-1,False,2,3.6213333333333346,1.0162002945508097,True,2,correct,1,THE LIGHT WAS GREEN BRIGHT BEFORE THE STORM ARRIVED
vits,ct_blue_t4_k03,0,control_word,t4,3,3,10,blue,10,3.952,3,nan,nan,nan,nan,-1,False,3,3.952000000000001,0.9999999999999998,True,3,correct,1,THE LIGHT WAS GREEN BRIGHT PALE BEFORE THE STORM ARRIVED
vits,ct_blue_t4_k03,1,control_word,t4,3,3,10,blue,10,3.984,3,nan,nan,nan,nan,-1,False,3,3.952000000000001,1.0080971659919027,True,3,correct,1,THE LIGHT WAS GREEN BRIGHT PALE BEFORE THE STORM ARRIVED
vits,ct_blue_t4_k03,2,control_word,t4,3,3,10,blue,10,3.92,3,nan,nan,nan,nan,-1,False,3,3.952000000000001,0.991902834008097,True,3,correct,1,THE LIGHT WAS GREEN BRIGHT PALE BEFORE THE STORM ARRIVED
vits,ct_blue_t4_k04,0,control_word,t4,4,4,11,blue,11,4.272,4,nan,nan,nan,nan,-1,False,4,4.2826666666666675,0.9975093399750933,True,4,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM BEFORE THE STORM ARRIVED
vits,ct_blue_t4_k04,1,control_word,t4,4,4,11,blue,11,4.528,2,nan,nan,nan,nan,-1,False,5,4.2826666666666675,1.0572851805728516,False,5,undercount,0,THE LIGHT WAS GREEN BRIGHT PALED IM BEFORE THE STORM ARRIVED
vits,ct_blue_t4_k04,2,control_word,t4,4,4,11,blue,11,4.064,4,nan,nan,nan,nan,-1,False,3,4.2826666666666675,0.9489414694894145,True,4,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM BEFORE THE STORM ARRIVED
vits,ct_blue_t4_k06,0,control_word,t4,6,6,13,blue,13,4.88,6,nan,nan,nan,nan,-1,False,6,4.944,0.9870550161812298,True,6,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD BEFORE THE STORM ARRIVED
vits,ct_blue_t4_k06,1,control_word,t4,6,6,13,blue,13,4.944,6,nan,nan,nan,nan,-1,False,6,4.944,1.0,True,6,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD BEFORE THE STORM ARRIVED
vits,ct_blue_t4_k06,2,control_word,t4,6,6,13,blue,13,4.864,6,nan,nan,nan,nan,-1,False,6,4.944,0.9838187702265372,True,6,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD BEFORE THE STORM ARRIVED
vits,ct_blue_t4_k08,0,control_word,t4,8,8,15,blue,15,5.568,8,nan,nan,nan,nan,-1,False,8,5.605333333333332,0.9933396764985729,True,8,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
vits,ct_blue_t4_k08,1,control_word,t4,8,8,15,blue,15,5.328,6,nan,nan,nan,nan,-1,False,7,5.605333333333332,0.9505233111322552,True,6,undercount,0,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARK SUFF BEFORE THE STORM ARRIVED
vits,ct_blue_t4_k08,2,control_word,t4,8,8,15,blue,15,6.176,8,nan,nan,nan,nan,-1,False,10,5.605333333333332,1.1018078020932447,False,10,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
vits,ct_blue_t4_k12,0,control_word,t4,12,12,19,blue,19,7.2,12,nan,nan,nan,nan,-1,False,13,6.927999999999997,1.0392609699769058,True,12,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM BEFORE THE STORM ARRIVED
vits,ct_blue_t4_k12,1,control_word,t4,12,12,19,blue,19,6.8,4,nan,nan,nan,nan,-1,False,12,6.927999999999997,0.9815242494226332,False,12,undercount,0,THE LIGHT WAS GREEN BRIGHT PALE IM WARM COLD SHARK SO GREEN BRIGHT PALED DIM BEFORE THE STORM ARRIVED
vits,ct_blue_t4_k12,2,control_word,t4,12,12,19,blue,19,7.408,10,nan,nan,nan,nan,-1,False,13,6.927999999999997,1.0692840646651276,False,13,undercount,0,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALED HIM BEFORE THE STORM ARRIVED
vits,ct_blue_t4_k16,0,control_word,t4,16,16,23,blue,23,9.424,16,nan,nan,nan,nan,-1,False,20,8.250666666666662,1.1422107304460252,False,20,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
vits,ct_blue_t4_k16,1,control_word,t4,16,16,23,blue,23,9.376,14,nan,nan,nan,nan,-1,False,19,8.250666666666662,1.1363930187459605,False,19,undercount,0,THE LIGHT WAS GREEN BRIGHT PALE IM WARM COLD SHARP SOFT GREEN BRIGHT PALE IN WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
vits,ct_blue_t4_k16,2,control_word,t4,16,16,23,blue,23,10.048,16,nan,nan,nan,nan,-1,False,21,8.250666666666662,1.2178409825468657,False,21,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
vits,ct_blue_t4_k24,0,control_word,t4,24,24,31,blue,31,13.248,14,nan,nan,nan,nan,-1,False,31,10.895999999999994,1.215859030837005,False,31,undercount,0,THE LIKT WAS CREAM BRIGHT PALE IN WARM COLD SHARP SOFT GREEN BRIGHT PALE IN WARM COLD SHARP SOFT GREEN BRIGHT PALE IN WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
vits,ct_blue_t4_k24,1,control_word,t4,24,24,31,blue,31,12.896,21,nan,nan,nan,nan,-1,False,30,10.895999999999994,1.1835535976505147,False,30,undercount,0,THE LIGHT WAS GREEN BRIGHT PALE DIN WARM COLD SHARP SOFT GREEN BRIGHT PALE EN WARM COLD SHARP SOFT GREEN BRIGHT PALE THEN WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
