model,item_id,seed,family,template,k,expected_count,expected_words,target_unit,n_words,duration_s,count_a,rms,spectral_flatness,trailing_silence_s,loop_ac_peak,n_speech_tokens,hit_cap,count_b,expected_duration_s,duration_ratio,agree,count_final,outcome,correct,transcript
qwen06brasoff,ct_blue_t4_k02,0,control_word,t4,2,2,9,blue,9,3.28,2,nan,nan,nan,nan,42,False,2,3.1999999999999993,1.0250000000000001,True,2,correct,1,THE LIGHT WAS GREEN BRIGHT BEFORE THE STORM ARRIVED
qwen06brasoff,ct_blue_t4_k02,1,control_word,t4,2,2,9,blue,9,3.12,2,nan,nan,nan,nan,40,False,2,3.1999999999999993,0.9750000000000002,True,2,correct,1,THE LIGHT WAS GREEN BRIGHT BEFORE THE STORM ARRIVED
qwen06brasoff,ct_blue_t4_k02,2,control_word,t4,2,2,9,blue,9,3.2,2,nan,nan,nan,nan,41,False,2,3.1999999999999993,1.0000000000000002,True,2,correct,1,THE LIGHT WAS GREEN BRIGHT BEFORE THE STORM ARRIVED
qwen06brasoff,ct_blue_t4_k03,0,control_word,t4,3,3,10,blue,10,4.8,3,nan,nan,nan,nan,61,False,4,4.133333333333333,1.1612903225806452,True,3,correct,1,THE LIGHT WAS GREEN BRIGHT PALE BEFORE THE STORM ARRIVED
qwen06brasoff,ct_blue_t4_k03,1,control_word,t4,3,3,10,blue,10,3.52,3,nan,nan,nan,nan,45,False,2,4.133333333333333,0.8516129032258065,True,3,correct,1,THE LIGHT WAS GREEN BRIGHT PALE BEFORE THE STORM ARRIVED
qwen06brasoff,ct_blue_t4_k03,2,control_word,t4,3,3,10,blue,10,4.08,3,nan,nan,nan,nan,52,False,3,4.133333333333333,0.9870967741935485,True,3,correct,1,THE LIGHT WAS GREEN BRIGHT PALE BEFORE THE STORM ARRIVED
qwen06brasoff,ct_blue_t4_k04,0,control_word,t4,4,4,11,blue,11,5.44,4,nan,nan,nan,nan,69,False,4,5.0666666666666655,1.073684210526316,True,4,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM BEFORE THE STORM ARRIVED
qwen06brasoff,ct_blue_t4_k04,1,control_word,t4,4,4,11,blue,11,4.4,4,nan,nan,nan,nan,56,False,3,5.0666666666666655,0.8684210526315792,True,4,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM BEFORE THE STORM ARRIVED
qwen06brasoff,ct_blue_t4_k04,2,control_word,t4,4,4,11,blue,11,3.92,4,nan,nan,nan,nan,50,False,3,5.0666666666666655,0.773684210526316,True,4,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM BEFORE THE STORM ARRIVED
qwen06brasoff,ct_blue_t4_k06,0,control_word,t4,6,6,13,blue,13,5.12,6,nan,nan,nan,nan,65,False,4,6.933333333333332,0.7384615384615386,False,6,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD BEFORE THE STORM ARRIVED
