clip,model,item_id,seed,family,k,outcome,counted,requested,rel_error,duration_s,text,transcript
clips/llasa1b__ct_blue_t4_k02__s0.opus,llasa1b,ct_blue_t4_k02,0,control_word,2,degenerate,0,2,-1.0,40.96,,nan
clips/llasa1b__ct_blue_t4_k02__s1.opus,llasa1b,ct_blue_t4_k02,1,control_word,2,empty,0,2,-1.0,40.96,,nan
clips/llasa1b__ct_blue_t4_k02__s2.opus,llasa1b,ct_blue_t4_k02,2,control_word,2,loop,0,2,-1.0,5.54,,THE NIGHT WAS GRAY BY THE QIES FELL AWAY
clips/llasa1b__ct_blue_t4_k03__s0.opus,llasa1b,ct_blue_t4_k03,0,control_word,3,correct,3,3,0.0,3.8,,THE LIGHT WAS GREEN BRIGHT PALE THE FAR TA LIT
clips/llasa1b__ct_blue_t4_k03__s2.opus,llasa1b,ct_blue_t4_k03,2,control_word,3,undercount,2,3,-0.3333,4.84,,THE LIGHT WAS GREEN BAK PALE BEFORE THE STOHE AT
clips/llasa1b__ct_blue_t4_k06__s0.opus,llasa1b,ct_blue_t4_k06,0,control_word,6,loop,0,6,-1.0,40.96,,THEM WA WA A HA H HA HA HA H HA HAHAH HA HA HA
clips/llasa1b__ct_blue_t4_k06__s2.opus,llasa1b,ct_blue_t4_k06,2,control_word,6,correct,6,6,0.0,6.98,,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD BEFORE THE STORM ARRIVED
clips/llasa1b__ct_blue_t4_k08__s1.opus,llasa1b,ct_blue_t4_k08,1,control_word,8,empty,0,8,-1.0,37.04,,nan
clips/llasa1b__ct_blue_t4_k16__s0.opus,llasa1b,ct_blue_t4_k16,0,control_word,16,truncation,16,16,0.0,13.1,,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
clips/llasa1b__ct_blue_t4_k16__s1.opus,llasa1b,ct_blue_t4_k16,1,control_word,16,loop,8,16,-0.5,40.96,,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREAN
clips/llasa1b__ct_blue_t4_k16__s2.opus,llasa1b,ct_blue_t4_k16,2,control_word,16,correct,16,16,0.0,15.14,,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
clips/llasa1b__ct_far_t3_k06__s0.opus,llasa1b,ct_far_t3_k06,0,control_word,6,truncation,6,6,0.0,8.7,,HE WALKED DEEP FAST LONG WIDE HIGH LOW INTO THE FOREST BEFORE TURNING BACK
clips/llasa1b__ct_no_t2_k08__s1.opus,llasa1b,ct_no_t2_k08,1,control_word,8,undercount,2,8,-0.75,9.02,,SHE SENT YES AN ANY SHAD FINER CA WILE RIGHT  TO THE OTHER AND THEN LEFT THE ROOM
clips/llasa1b__ct_no_t2_k08__s2.opus,llasa1b,ct_no_t2_k08,2,control_word,8,degenerate,0,8,-1.0,40.96,,nan
clips/llasa1b__ct_no_t2_k16__s0.opus,llasa1b,ct_no_t2_k16,0,control_word,16,undercount,10,16,-0.375,18.24,,SHE SAID YES MAYBE SURE FINE O K WELL RIGHT HUM YES MAYBE SURE FINE O K
clips/llasa1b__ct_very_t1_k24__s1.opus,llasa1b,ct_very_t1_k24,1,control_word,24,empty,0,24,-1.0,40.96,,nan
clips/llasa1b__wr_blue_t4_k01__s0.opus,llasa1b,wr_blue_t4_k01,0,word_rep,1,truncation,0,1,-1.0,3.08,,THE NIGHT WAS BARE BEFORE THE STONE
clips/llasa1b__wr_blue_t4_k01__s1.opus,llasa1b,wr_blue_t4_k01,1,word_rep,1,undercount,0,1,-1.0,4.48,,THE LIGHTLE WORLD BEFORE THE SCORA
clips/llasa1b__wr_blue_t4_k02__s1.opus,llasa1b,wr_blue_t4_k02,1,word_rep,2,loop,0,2,-1.0,40.96,,A
clips/llasa1b__wr_blue_t4_k03__s1.opus,llasa1b,wr_blue_t4_k03,1,word_rep,3,empty,0,3,-1.0,40.96,,nan
clips/llasa1b__wr_blue_t4_k04__s2.opus,llasa1b,wr_blue_t4_k04,2,word_rep,4,degenerate,0,4,-1.0,9.64,,nan
clips/llasa1b__wr_blue_t4_k06__s0.opus,llasa1b,wr_blue_t4_k06,0,word_rep,6,truncation,1,6,-0.8333,6.68,,THE LIGHT WAS BLUE EN TEN E EN BEFORE THE STAR
clips/llasa1b__wr_blue_t4_k06__s1.opus,llasa1b,wr_blue_t4_k06,1,word_rep,6,loop,0,6,-1.0,40.96,,THE NIGHT WAS PON
clips/llasa1b__wr_blue_t4_k06__s2.opus,llasa1b,wr_blue_t4_k06,2,word_rep,6,degenerate,0,6,-1.0,40.96,,nan
clips/llasa1b__wr_blue_t4_k08__s0.opus,llasa1b,wr_blue_t4_k08,0,word_rep,8,undercount,0,8,-1.0,13.44,,THE RIGHT WAS GO ON O UN UNG UNG O  FY WAS FI
clips/llasa1b__wr_blue_t4_k16__s0.opus,llasa1b,wr_blue_t4_k16,0,word_rep,16,overcount,29,16,0.8125,29.46,,THE LIGHT WAS BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BEFORE THE STORM ARRIVED
clips/llasa1b__wr_blue_t4_k16__s1.opus,llasa1b,wr_blue_t4_k16,1,word_rep,16,undercount,0,16,-1.0,25.0,,LET IT BE E  A  A A   A  BEFORE THE STAR HO
clips/llasa1b__wr_blue_t4_k16__s2.opus,llasa1b,wr_blue_t4_k16,2,word_rep,16,loop,7,16,-0.5625,40.96,,THE LIGHT WAS BLUE BLUE BLUE BLUE BLUE BLUE BLUE BE B BUE BU BU BU BU BU BU BU BU BU B BU BU BU BO B B B B B B BB B B B
clips/llasa1b__wr_blue_t4_k24__s1.opus,llasa1b,wr_blue_t4_k24,1,word_rep,24,truncation,21,24,-0.125,10.66,,THE LIGHT WAS BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLU BEFORE THE STORM ARRIVED
clips/llasa1b__wr_far_t3_k01__s0.opus,llasa1b,wr_far_t3_k01,0,word_rep,1,correct,1,1,0.0,3.56,,HE WALKED FAR INTO THE FOREST TEFOT TUNING ADACK
clips/llasa1b__wr_far_t3_k06__s1.opus,llasa1b,wr_far_t3_k06,1,word_rep,6,empty,0,6,-1.0,23.36,,nan
