model,item_id,seed,family,template,k,expected_count,expected_words,target_unit,n_words,duration_s,count_a,rms,spectral_flatness,trailing_silence_s,loop_ac_peak,n_speech_tokens,hit_cap,count_b,expected_duration_s,duration_ratio,count_final,agree,outcome,correct,transcript
llasa1b,ct_no_t2_k02,0,control_word,t2,2,0,12,no,4,30.02,0,2.2771615476813167e-05,0.14840535819530487,6.25e-05,2.5379657131452404e-07,1501,False,,nan,nan,0,True,empty,0, Thank you. Thank you.
llasa1b,ct_no_t2_k03,0,control_word,t2,3,0,13,no,1,19.36,0,0.007005299907177687,0.10305429995059967,4.8696875,0.5031045079231262,968,False,,nan,nan,0,True,correct,1, um
llasa1b,ct_no_t2_k04,0,control_word,t2,4,0,14,no,1,17.52,0,2.2480364350485615e-05,0.1638914793729782,6.25e-05,9.409760792777888e-08,876,False,,nan,nan,0,True,empty,0, you
llasa1b,ct_no_t2_k06,0,control_word,t2,6,0,16,no,1,17.46,0,2.288927680638153e-05,0.16327868402004242,6.25e-05,6.119089590583826e-08,873,False,,nan,nan,0,True,empty,0, you
llasa1b,ct_no_t2_k08,0,control_word,t2,8,0,18,no,12,40.96,0,0.14360280334949493,0.02153446339070797,11.72775,0.8180242776870728,2048,True,,nan,nan,0,True,correct,1," She said, yeah, maybe she'll find a good way. Thank you."
llasa1b,ct_no_t2_k12,0,control_word,t2,12,0,22,no,6,40.96,0,0.005885343067348003,0.0086783142760396,0.96475,0.2739226222038269,2048,True,,nan,nan,0,True,correct,1," He said, uh, yes. Thank you."
llasa1b,ct_no_t2_k16,0,control_word,t2,16,0,26,no,15,18.24,0,0.10997333377599716,0.02512916550040245,0.226125,0.28531843423843384,912,False,,nan,nan,0,True,correct,1," She said, yes, maybe sure, fine, okay. Well, right. Hmm. Yes, maybe sure, fine, okay."
llasa1b,ct_very_t1_k02,0,control_word,t1,2,0,12,very,4,4.96,0,0.006739546079188585,0.04865487292408943,0.26425,0.251257985830307,248,False,1,5.03999999999999,0.9841269841269861,0,True,correct,1, The dog was quite
llasa1b,ct_very_t1_k03,0,control_word,t1,3,0,13,very,2,16.84,0,0.00012955420243088156,0.18107227981090546,14.8915625,0.07357238978147507,842,False,5,5.03999999999999,3.3412698412698476,5,False,empty,0, Thank you.
llasa1b,ct_very_t1_k04,0,control_word,t1,4,0,14,very,12,10.78,0,0.026185723021626472,0.019035905599594116,3.6725625,0.18629002571105957,539,False,3,5.03999999999999,2.138888888888893,3,False,loop,0, The dog was quite nearly nearly found dead in an Anaclesta field.
llasa1b,ct_very_t1_k06,0,control_word,t1,6,0,16,very,16,6.62,0,0.05023525282740593,0.060199033468961716,0.49725,0.15784309804439545,331,False,2,5.03999999999999,1.3134920634920662,2,False,overcount,0, the dog was quite really truly fairly rather somewhat big and it ran across the field
llasa1b,ct_very_t1_k08,0,control_word,t1,8,0,18,very,18,7.7,0,0.04682062566280365,0.03953077271580696,0.28775,0.18241840600967407,385,False,2,5.03999999999999,1.5277777777777808,2,False,overcount,0, the dog was quite really truly fairly rather somewhat extremely notably big and it ran across the field
llasa1b,ct_very_t1_k12,0,control_word,t1,12,0,22,very,22,9.38,0,0.03165475279092789,0.07407084852457047,6.25e-05,0.18418188393115997,469,False,2,5.03999999999999,1.861111111111115,2,False,loop,0, the dog was quite really truly fairly rather somewhat extremely notably quite really truly fairly big and it ran across the field
llasa1b,ct_very_t1_k16,0,control_word,t1,16,0,26,very,26,12.6,0,0.04701169207692146,0.07879248261451721,1.139,0.16157184541225433,630,False,4,5.03999999999999,2.500000000000005,4,False,loop,0, the dog was quite really truly fairly rather somewhat extremely notably quite really truly fairly rather somewhat extremely notably big and it ran across the field
llasa1b,ct_very_t1_k24,0,control_word,t1,24,0,34,very,34,19.94,0,0.07141851633787155,0.06532943248748779,1.542625,0.22759759426116943,997,False,6,5.03999999999999,3.956349206349214,6,False,loop,0, the daub was quite really truly fairly rather somewhat extremely notably quite really truly fairly rather somewhat extremely notably quite really truly fairly rather somewhat extremely notably big and it ran across the field
llasa1b,ct_very_t1_k32,0,control_word,t1,32,0,42,very,18,19.82,0,0.032096028327941895,0.06583299487829208,0.3848125,0.23042795062065125,991,False,6,5.03999999999999,3.9325396825396903,6,False,loop,0, the dog was quite really truly fairly rather somewhat extremely notably big and it ran across the field
llasa1b,wr_no_t2_k01,0,word_rep,t2,1,1,11,no,11,12.72,0,0.003357718698680401,0.006423789542168379,0.022,0.3572760820388794,636,False,,nan,nan,0,True,undercount,0, He sent mail to the elephant and then left the room.
llasa1b,wr_no_t2_k02,0,word_rep,t2,2,2,12,no,6,37.1,2,0.012858312577009201,0.02026819810271263,25.5700625,0.5027947425842285,1855,False,,nan,nan,2,True,correct,1," She said no, no. Thank you."
llasa1b,wr_no_t2_k03,0,word_rep,t2,3,3,13,no,4,40.96,0,0.0021071757655590773,0.030295521020889282,6.25e-05,0.7521876692771912,2048,True,,nan,nan,0,True,undercount,0, She said. Thank you.
llasa1b,wr_no_t2_k04,0,word_rep,t2,4,4,14,no,8,8.76,4,0.004372363910079002,0.02938726171851158,6.25e-05,0.24287790060043335,438,False,,nan,nan,4,True,correct,1," She said no, no, no, no to God."
llasa1b,wr_no_t2_k06,0,word_rep,t2,6,6,16,no,15,7.7,5,0.006041031330823898,0.006163432262837887,0.0035,0.20482094585895538,385,False,,nan,nan,5,True,undercount,0," She said, no, no, no, no, no. And then I thought, and then I thought."
llasa1b,wr_no_t2_k08,0,word_rep,t2,8,8,18,no,17,7.2,7,0.05360357090830803,0.0865151658654213,1.3740625,0.21752314269542694,360,False,,nan,nan,7,True,undercount,0," She said no, no, no, no, no, no, no, to the offer, and then left the room."
llasa1b,wr_no_t2_k12,0,word_rep,t2,12,12,22,no,20,7.7,10,0.05211963504552841,0.0797492191195488,1.3015,0.5009167790412903,385,False,,nan,nan,10,True,undercount,0," She said no, no, no, no, no, no, no, no, no, no to the offer, and then left the room."
llasa1b,wr_no_t2_k16,0,word_rep,t2,16,16,26,no,24,11.22,14,0.06664503365755081,0.04840236157178879,0.740375,0.4019428491592407,561,False,,nan,nan,14,True,undercount,0, she said no no no no no no no no no no no no no no to the offer and then left the room
llasa1b,wr_very_t1_k01,0,word_rep,t1,1,1,11,very,10,5.3,0,0.07504286617040634,0.00048248792882077396,0.005875,0.38031724095344543,265,False,3,1.3199999999999983,4.01515151515152,3,False,loop,0, The dog was there then and ran across the field.
llasa1b,wr_very_t1_k02,0,word_rep,t1,2,2,12,very,5,5.42,0,0.0060246288776397705,0.005156408529728651,6.25e-05,0.31596383452415466,271,False,3,3.759999999999998,1.4414893617021285,3,False,overcount,0," The doubt was there, okay?"
llasa1b,wr_very_t1_k03,0,word_rep,t1,3,3,13,very,13,6.2,3,0.05315415933728218,0.00023819894704502076,0.0015,0.31051191687583923,310,False,3,6.199999999999998,1.0000000000000002,3,True,correct,1," The dog was very, very, very big. And it ate across the field."
llasa1b,wr_very_t1_k04,0,word_rep,t1,4,4,14,very,14,8.64,4,0.06226808950304985,0.0008299276232719421,6.25e-05,0.25128158926963806,432,False,4,8.639999999999999,1.0000000000000002,4,True,correct,1," The dog was very, very, very, very big and it ran across the field."
llasa1b,wr_very_t1_k06,0,word_rep,t1,6,6,16,very,8,10.08,0,0.09748361259698868,0.03910345584154129,0.9565625,0.44632285833358765,504,False,5,13.52,0.7455621301775148,5,False,undercount,0," The dog was there. There, across the hill."
llasa1b,wr_very_t1_k08,0,word_rep,t1,8,8,18,very,8,40.96,3,0.02154795452952385,0.001910163089632988,26.9764375,0.7249456644058228,2048,True,17,18.4,2.226086956521739,17,False,loop,0," The dog was very, very, very... Thank you."
